answer,input,Task-ID,Level,Book,Type,Details
"SELECT north_zone.squaremeter/count(*) FROM (SELECT zone, sum(squaremeter) squaremeter FROM zoo_cage WHERE zone = 'north' GROUP BY zone) north_zone INNER JOIN zoo_cage c ON (north_zone.zone = c.zone) INNER JOIN zoo_animal a ON (c.id = a.cage_id) GROUP BY c.zone, north_zone.squaremeter",SELECT * FROM zoo_animal,104,5,Zoo Book,Progression,-
"SELECT north_zone.squaremeter/count(*) FROM (SELECT zone, sum(squaremeter) squaremeter FROM zoo_cage WHERE zone = 'north' GROUP BY zone) north_zone INNER JOIN zoo_cage c ON (north_zone.zone = c.zone) INNER JOIN zoo_animal a ON (c.id = a.cage_id) GROUP BY c.zone, north_zone.squaremeter",SELECT north_zone.squaremeter/count(*) FROM (SELECT zone,104,5,Zoo Book,Progression,-
"SELECT north_zone.squaremeter/count(*) FROM (SELECT zone, sum(squaremeter) squaremeter FROM zoo_cage WHERE zone = 'north' GROUP BY zone) north_zone INNER JOIN zoo_cage c ON (north_zone.zone = c.zone) INNER JOIN zoo_animal a ON (c.id = a.cage_id) GROUP BY c.zone, north_zone.squaremeter","SELECT north_zone.squaremeter/count(*) FROM (SELECT zone, sum(squaremeter) squaremeter ",104,5,Zoo Book,Progression,-
"SELECT north_zone.squaremeter/count(*) FROM (SELECT zone, sum(squaremeter) squaremeter FROM zoo_cage WHERE zone = 'north' GROUP BY zone) north_zone INNER JOIN zoo_cage c ON (north_zone.zone = c.zone) INNER JOIN zoo_animal a ON (c.id = a.cage_id) GROUP BY c.zone, north_zone.squaremeter","SELECT north_zone.squaremeter/count(*) FROM (SELECT zone, sum(squaremeter) squaremeter FROM zoo_cage WHERE ",104,5,Zoo Book,Progression,-
"SELECT north_zone.squaremeter/count(*) FROM (SELECT zone, sum(squaremeter) squaremeter FROM zoo_cage WHERE zone = 'north' GROUP BY zone) north_zone INNER JOIN zoo_cage c ON (north_zone.zone = c.zone) INNER JOIN zoo_animal a ON (c.id = a.cage_id) GROUP BY c.zone, north_zone.squaremeter","SELECT north_zone.squaremeter/count(*) FROM (SELECT zone, sum(squaremeter) squaremeter FROM zoo_cage WHERE zone = 'north' GROUP BY ",104,5,Zoo Book,Progression,-
"SELECT north_zone.squaremeter/count(*) FROM (SELECT zone, sum(squaremeter) squaremeter FROM zoo_cage WHERE zone = 'north' GROUP BY zone) north_zone INNER JOIN zoo_cage c ON (north_zone.zone = c.zone) INNER JOIN zoo_animal a ON (c.id = a.cage_id) GROUP BY c.zone, north_zone.squaremeter","SELECT north_zone.squaremeter/count(*) FROM (SELECT zone, sum(squaremeter) squaremeter FROM zoo_cage WHERE zone = 'north' GROUP BY zone) north_zone INNER",104,5,Zoo Book,Progression,-
"SELECT north_zone.squaremeter/count(*) FROM (SELECT zone, sum(squaremeter) squaremeter FROM zoo_cage WHERE zone = 'north' GROUP BY zone) north_zone INNER JOIN zoo_cage c ON (north_zone.zone = c.zone) INNER JOIN zoo_animal a ON (c.id = a.cage_id) GROUP BY c.zone, north_zone.squaremeter","SELECT north_zone.squaremeter/count(*) FROM (SELECT zone, sum(squaremeter) squaremeter FROM zoo_cage WHERE zone = 'north' GROUP BY zone) north_zone INNER JOIN zoo_cage c ON ",104,5,Zoo Book,Progression,-
"SELECT north_zone.squaremeter/count(*) FROM (SELECT zone, sum(squaremeter) squaremeter FROM zoo_cage WHERE zone = 'north' GROUP BY zone) north_zone INNER JOIN zoo_cage c ON (north_zone.zone = c.zone) INNER JOIN zoo_animal a ON (c.id = a.cage_id) GROUP BY c.zone, north_zone.squaremeter","SELECT north_zone.squaremeter/count(*) FROM (SELECT zone, sum(squaremeter) squaremeter FROM zoo_cage WHERE zone = 'north' GROUP BY zone) north_zone INNER JOIN zoo_cage c ON (north_zone.zone = c.zone) INNER ",104,5,Zoo Book,Progression,-
"SELECT north_zone.squaremeter/count(*) FROM (SELECT zone, sum(squaremeter) squaremeter FROM zoo_cage WHERE zone = 'north' GROUP BY zone) north_zone INNER JOIN zoo_cage c ON (north_zone.zone = c.zone) INNER JOIN zoo_animal a ON (c.id = a.cage_id) GROUP BY c.zone, north_zone.squaremeter","SELECT north_zone.squaremeter/count(*) FROM (SELECT zone, sum(squaremeter) squaremeter FROM zoo_cage WHERE zone = 'north' GROUP BY zone) north_zone INNER JOIN zoo_cage c ON (north_zone.zone = c.zone) INNER JOIN zoo_animal a ON ",104,5,Zoo Book,Progression,-
"SELECT north_zone.squaremeter/count(*) FROM (SELECT zone, sum(squaremeter) squaremeter FROM zoo_cage WHERE zone = 'north' GROUP BY zone) north_zone INNER JOIN zoo_cage c ON (north_zone.zone = c.zone) INNER JOIN zoo_animal a ON (c.id = a.cage_id) GROUP BY c.zone, north_zone.squaremeter","SELECT north_zone.squaremeter/count(*) FROM (SELECT zone, sum(squaremeter) squaremeter FROM zoo_cage WHERE zone = 'north' GROUP BY zone) north_zone INNER JOIN zoo_cage c ON (north_zone.zone = c.zone) INNER JOIN zoo_animal a ON (c.id = a.cage_id) GROUP BY",104,5,Zoo Book,Progression,-
SELECT name from ghosts where year > 1800,SELECT,4,1,Selection Book,Easy,-
"SELECT * FROM Ghosts WHERE YEAR BETWEEN 1600 AND 1700 ORDER BY YEAR DESC, NAME ASC",SELECT,14,1,Summary Book,Easy,-
SELECT COUNT(DISTINCT YEAR) FROM GHOSTS,SELECT,26,2,Grouping Book,Easy,-
SELECT name from ghosts order by name ASC,SELECT,6,1,Selection Book,Easy,-
SELECT SUM(MURDERED) FROM GHOSTS WHERE NAME = 'Siegfried',SELECT,20,2,Summary Book,Easy,-
"SELECT year from ghosts where name =""Sieglinde""","SELECT year FROM GHOSTS WHERE name IS ""Sieglinde""",3,1,Selection Book,Parsons,One distractor
"SELECT a.title, count(*), sum(s.seconds) FROM song s INNER JOIN album a ON a.album_id = s.album_fk GROUP BY a.title","SELECT a.title, count(*), sum(s.seconds) FROM song s LEFT JOIN album a ON a.album_id = s.album_fk GROUP BY s.title",63,5,Christmas Book,Parsons,Two distractors
SELECT COUNT(*) FROM Pokedex_new;,SELECT COUNT(type1) FROM Pokemon;,66,2,Pokemon 1 Book,Parsons,Two distractors
"SELECT a.name, a.type FROM zoo_employee k JOIN zoo_animal a ON k.cage_id = a.cage_id JOIN zoo_food f ON f.id = a.food_id WHERE f.name='blueberry' AND k.firstname = 'Heidi';","SELECT a.name, a.type FROM zoo_employee k JOIN zoo_animal a ON c.cage_id JOIN zoo_food f ON  f.id = a.food_id WHERE a.name='blueberry' AND k.firstname = 'Heidi' ",103,4,Zoo Book,Parsons,One distractor
"SELECT p.personid, p.firstname, p.lastname FROM person p INNER JOIN accessright ar ON (p.personid = ar.personid_fk) INNER JOIN area a ON (ar.areaid_fk = a.areaid) WHERE a.areaname = 'Mechanical Lab' ORDER BY lastname, firstname;","SELECT p.personid, p.firstname, p.lastname FROM person p INNER JOIN person ar ON (p.personid = ar.personid_fk) INNER JOIN area a ON (ar.areaid_fk = a.areaid) WHERE a.areaname = 'Mechanical Lab' ORDER BY lastname, firstname;",156,2,Murder at the University,Parsons,One distractor
